# Constructed from biom file
#OTU ID	MagNA_Pure_Pathogen_200	MagNA_Pure_Pathogen_500	Qiagen_DNA_Stool	Qiagen_Power_Fecal	Qiagen_Soil	Conventional_Isolation
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.0748578454228	0.0448154390348	7.67018216683e-05	0.000745203664649	0.0361258758735	0.0317879132628
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	0.00853093386473	0.0188868623117	0.000354745925216	0.000623438359967	0.00568056209691	0.00384033239025
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__	0.0162811997564	0.0195454661445	0.0113710450623	0.011212149255	0.016277549765	0.0204416022926
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	0.076604185575	0.0912056946144	0.0213998082454	0.0187908218184	0.0329155412874	0.0240447815814
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	0.00710648443891	0.00961537293138	0.000172579098754	0.000326331016545	0.00122550197522	0.00575469413884
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.00160364632505	0.00119569404328	0.000949185043145	0.00115920570056	0.000990013360374	0.00169379278015
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	0.000381623026138	0.000300138647043	0.000230105465005	6.81885706214e-05	0.000177817933659	0.000291880740183
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8	2.15699971295e-05	1.94421795655e-05	0.0	0.0	0.0	3.31682659299e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	2.48884582264e-05	6.07568111423e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.104812764129	0.0758548787112	0.0421093000959	0.0382050819968	0.0462038274109	0.0404962414827
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	8.29615274213e-06	1.09362260056e-05	0.000201342281879	0.0	0.000192235603956	0.00060255683106
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	0.00746321900682	0.00858736768685	0.00674976030681	0.00528948483535	0.0091984736493	0.010463482292
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.210106705117	0.185257238263	0.0225023969319	0.0250446878668	0.0634281375254	0.0726495584751
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	0.005430661585	0.00722398484482	0.00352828379674	0.00216742242332	0.00605061563452	0.00263577153256
